# destino_id,destino_nombre_es,zona_nombre,clave_mkp,Cangooroo ID,Cangooroo Nombre,Cangooroo ID,Cangooroo ID
20,Brisas Condominios,Cancún,BRISA,1679255,Brisas Condos Beach Front Cancun Hotel Zone,,
778,Bsea Cancun Plaza Hotel,Cancún,BSEA,612699,Bsea Cancun Plaza Hotel,,
355,Cabañas Los Lirios,Tulúm,LOSLIR,,,,
535,Cabo Azul,Los Cabos - San Jose del Cabo,CABAZ,222780,Cabo Azul Resort by Diamond Resorts,,
556,Cabo del Sol Premier,Los Cabos - Corredor Turistico,CABOSP,305060,"Cabo del Sol, The Premier Collection",,
577,Cabo Villas Resort,Los Cabos - Cabo San Lucas,CABOVIC,1284546,Cabo Villas Beach Resort,,
779,Cache Hotel Boutique,Playa del Carmen,CACHE,244338,Cache Hotel Boutique - Adults Only,,
899,Calaluna,Tulúm,CALALU,,,,
726,Caleta Tankah Tulum,Tulúm,CATATU,,,,
40,Calinda Americas,Cancún,CALI1,,,,
561,Calinda Cabo San Lucas,Los Cabos - Cabo San Lucas,CALICC,554089,Calinda Cabo San Lucas,1400634,
129,Calypso Hotel Cancún,Cancún,CALYP,103090,Calypso Hotel Cancun,2292023,
48,Cancun Bay Resort,Cancún,CUBAY,305114,Cancun Bay Resort,,
2,Cancún Clipper Club,Cancún,CLIPP,,,,
6,Cancun Plaza,Cancún,PLAZA,2319980,Cancun Plaza - Best Beach,,
266,Capitan Lafite,Playa del Carmen,CAPI,,,,
32,Carisa y Palma Condominios,Cancún,CAPAL,1405132,Carisa y Palma,,
666,Casa Cacao Tulum,Tulúm,CACAO,,,,
547,Casa del Mar,Los Cabos - Corredor Turistico,CASM,,,,
364,Casa del Mar Cozumel,Cozumel Zona Sur,CASAMCZM,,,,
575,Casa Dorada,Los Cabos - Cabo San Lucas,CASADC,,,,
787,Casa Ganesh,Tulúm,CGANESH,,,,
254,Casa Macaw Playacar,Playa del Carmen,MACA,,,,
895,Casa Malca,Tulúm,MALCA,,,,
260,Casa Mar y Sol Playacar,Playa del Carmen,MARSO,,,,
43,Casa Maya,Cancún,CMTA1,,,,
783,Casa Melissa,Playa del Carmen,CASAME,,,,
365,Casa Mexicana Cozumel,Cozumel DownTown,CASME,,,,
705,Casa Mora Suites,Playa del Carmen,CAMORA,,,,
785,Casa Tortugas Boutique Hotel,Cancún,CASATO,,,,
327,Catalonia Maroma,Puerto Morelos,CATMAR,,,,
323,Catalonia Riviera Maya,Puerto Aventuras,CATAL,,,,
333,Catalonia Royal Tulum Beach and Spa Resort,Puerto Aventuras,CATROY,,,,
786,Catalonia Yucatán Beach,Playa del Carmen,CATALY,,,,
285,Ceiba del Mar Hotel Spa Resort,Puerto Morelos,LCER2,,,,
592,Centro de convenciones,Cancún,CONVE,,,,
788,Chable Maroma,Puerto Morelos,CHABLE,,,,
717,Che Playa Hostel & Bar,Playa del Carmen,CHEPLA,,,,
529,Cirque du Solei,Puerto Morelos,CIRQUE,,,,
63,City Express Cancún,Cancún,CITY,,,,
193,City Express Playa del Carmen,Playa del Carmen,CITYP,,,,
566,City Express Plus,Los Cabos - Cabo San Lucas,CITYCC,,,,
900,City Express Plus Cabo San Lucas,Los Cabos - Cabo San Lucas,CIPLUCA,,,,
